,penyakit,gejala
549,Cleft Palate in Cats," and Types



Symptoms expected with a cleft palate include:




	Runny nose
	Coughing
	Aspiration pneumonia (pneumonia caused by milk and food contents entering the cleft and infecting the lungs)
	Respiratory difficulty (caused by aspiration pneumonia)
	Difficulty sucking and nursing (in the kitten)
	Slow growth
	Weight loss
	Lack of appetite




"
550,Claw and Nail Disorders in Cats," and Types

 

Common signs of nail or nail bed disorders can include:

 


	Licking at the paws
	Lameness, difficulty walking
	Pain in the feet
	Swelling or redness of the tissues surrounding the nails
	Nail plate deformity (the part of the nail that overlays the nail bed)
	Abnormal nail color


 

"
551,Cirrhosis and Fibrosis of the Liver in Cats," and Types


    Seizures
    Blindness
    Fluid 	build-up in the abdomen
    Lack 	of energy
    Loss 	of appetite (anorexia)
    Poor 	body condition
    Vomiting
    Diarrhea
    Constipation
    Black, 	tarry stools due to the presence of digested blood
    Increased 	thirst
    Increased 	urination
    Yellowish 	discoloration of the gums and other tissues of the body
    Cats:
    
        Fluid 		build-up in the abdomen (ascites) uncommon
        Drooling 		(known as ptyalism)
    
    
    Possible 	bleeding tendencies (uncommon)
    Skin 	lesions with superficial, ulcerative inflammation (superficial 	necrolytic dermatitis)


"
552,Chylothorax in Cats," and Types

Symptoms can vary according to the underlying cause, how rapidly the fluid has accumulated, and the volume of fluid present. Struggling with breathing is the first sign of a problem, but if fluid has accumulated gradually, the condition may have existed before the appearance of breathing problems. There are several other attendant symptoms that can be taken into account when looking for the underlying cause of the breathing problem. Your cat may present some, or all, of these symptoms:


	Coughing
	Rapid breathing
	Increased lung sounds
	Muffled heart and lung sounds
	Irregular heartbeat
	Heart murmur
	Inability to exercise
	Depression
	Anorexia and weight loss
	Pale gums and mucous membranes
	Bluish discoloration of the skin


"
553,Chronic Vomiting in Cats," of Chronic Vomiting in Cats
Besides vomiting, which may contain blood, cats with chronic vomiting often have other symptoms including:


	
	Dehydration
	
	
	Lethargy
	
	
	Foul breath
	
	
	Fever
	
	
	Weight loss
	
	
	Decreased appetite
	
	
	Behavioral changes
	
	
	Increased thirst
	
	
	Increased urination
	
	
	Unkempt hair coat
	
	
	Painful abdomen
	
	
	Palpable thickened intestines
	
	
	Palpable masses in abdomen
	
	
	Diarrhea (bright-red bloody or black tarry stools)
	


"
554,Chronic Renal Failure in Cats," of Chronic Renal Failure in Cats
Clinical signs are often related to the severity of the CRF stage, meaning there are additional, more severe signs noted within stages III and IV rather than with stages I and II. Cats often exhibit symptoms including:


	
	Increased thirst and urination
	
	
	Intermittent vomiting
	
	
	Dehydration
	
	
	Sores in the mouth
	
	
	Foul breath
	
	
	Weight loss
	
	
	Decreased appetite
	


"
555,Chronic Inflammation of the Bronchi in Cats," and Types


    Gagging
    Abnormal lung sounds (i.e., wheezing, crackles, etc.)
    Inability to perform routine exercises
    Bluish discoloration of the skin and mucous membranes (cyanosis); a sign that oxygen in the blood is dangerously diminished
    Spontaneous loss of consciousness (syncope)


"
556,Chronic Diarrhea in Cats," of Chronic Diarrhea in Cats
Symptoms of chronic diarrhea depend on the cause. If your cat has diarrhea (this may be soft-to-watery in consistency) that lasts longer than 24-48 hours, or if they are showing any of the following symptoms, they should be examined by a veterinarian as soon as possible.


	
	Abnormal stool color (dark, tarry stool)
	
	
	Fresh blood in the stool
	
	
	Straining to defecate
	
	
	Increased frequency of defecation
	
	
	Weight loss
	
	
	Increased or decreased appetite
	
	
	Decreased energy level
	
	
	Vomiting
	
	
	Dehydration
	
	
	Increased flatulence
	

Health ToolsNot sure whether to see a vet?Answer a few questions about your pet's symptom, and our vet-created Symptom Checker will give you the most likely causes and next steps.
Check your pet’s symptom
"
557,Chorioretinitis in Cats," and Types

Chorioretinitis is not usually painful except when the front part of the eye, including the iris, is affected. Some of the symptoms that may point to chorioretinitis include vitreous abnormalities, which can display as tearing, bleeding, or will show evidence of the vitreous becoming liquefied (the vitreous is the clear, gel-like material that fills the back part of the eyeball between the lens and the retina). A condition sometimes seen in cats is invasion of the eye by fly larvae. Tracts from migrating larvae may be seen when the eye is examined with an ophthalmoscope.

Changes in the appearance of the retina when examined with an ophthalmoscope may include change in color, darkened or lighter areas, scars, and changes in the contour/surface of the retina. A close examination may show few, or small, lesions.

"
558,Chiggers on Cats,"
The most common symptom of chiggers in cats is itching. This may be accompanied by: 


	
	Skin redness
	
	
	Skin lesions 
	
	
	Crusty skin 
	
	
	Hair loss 
	


"
559,Cherry Eye in Cats," of Cherry Eye in Cats
As a pet parent, you may notice a thin film—or a small pink swelling—in the corner of your cat’s eye. In some situations, you may also notice some clear or mucus-like discharge from the eye. If this is causing your cat discomfort, it will rub the affected eye.

"
560,Chemical Imbalance of Urine in Cats,"

 Symptoms will depend on the underlying cause of the disorder. Some of  the more common ones include:


    Excessive thirst  (polydipsia)
    Excessive urination (polyuria) 
    Occasional urinary incontinence


"
561,Chediak-Higashi Syndrome in Cats," and Types



A cat with Chediak-Higashi syndrome will bleed for an abnormally long period, often due to minor surgery or injuries. The cat's eyes will reflect a red eyeshine when exposed to light; excessive blinking and eye watering may also occur.



"
562,Cerebellar Hypoplasia in Cats," of Cerebellar Hypoplasia in Cats
Kittens with cerebellar hypoplasia experience problems with movement and mobility.

If you think your kitten may have this condition, look for neurological problems like the following:

· Wobbling or swaying when walking

· Uncoordinated movements

· Abnormal gait (walking, trotting)

· Tremors

· Overstepping or “goose-walking”

· Difficulty going from a sitting position to standing, or vice versa

The brain damage is permanent but does not get worse with age.

"
563,Cauliflower Ear in Cats," of Cauliflower Ear in Cats
If you suspect a hematoma or cauliflower ear in your cat, watch for the following signs:


	
	Soft swelling of the ear flap that may feel like a water balloon
	
	
	Narrowed ear canal opening due to swelling of the ear flap
	
	
	Wrinkled ear flap
	
	
	Scratching of the ears with or without odor or discharge
	


"
564,Cat Tooth Abscess," of a Cat Tooth Abscess
Many cats with fractured teeth have no obvious symptoms and fractured teeth are found in a routine veterinary exam. 

The following symptoms may occur for a cat with a tooth abscess: 


	
	Facial swelling 
	
	
	Dropping of food while eating 
	
	
	Difficulty picking up food 
	



	
	Preferring soft food over kibble 
	


"
566,Cat Skin Allergies,"


	
	Hair loss
	
	
	Scabs
	
	
	Ulcers and open sores
	
	
	Intense itchiness, which will appear as frequent scratching or overgrooming
	


"
567,Cat Scratch Fever in Cats," of Cat Scratch Fever
Most cats with cat scratch fever are asymptomatic, meaning they have no clinical signs and appear normal. Very rarely, a cat may have signs of disease, including:


	
	Enlarged lymph nodes
	
	
	Transient fever, lethargy, and/or anorexia
	
	
	Reproductive failure
	
	
	Bacterial heart infection
	


Remember, most cats with cat scratch fever are not sick and do not show signs of disease. Humans, on the other hand, more frequently manifest symptoms of cat scratch fever. These are the most commonly reported:


	
	Pustule on the site of the scratch
	
	
	Fever
	
	
	Enlarged lymph nodes
	


"
568,Cats and Motion Sickness," and Types

 

Cats show their uneasiness in various ways. The first signs of motion sickness may be:

 


	Excessive drooling (ptyalism)
	Crying out in distress
	Immobility, or acting afraid to move
	Vomiting or regurgitation
	Urinating or defecating


 

"
570,Cat Mammary Gland Tumors," of Cat Mammary Gland Tumors
The most common symptom of a cat mammary gland tumor is a lump or swelling along the cat’s mammary chain, which is the line of breast tissue and nipples along your cat’s belly.

The mass may be soft or firm, widespread or clearly defined. You may also see ulceration (sores) as well as discharge from the nipples.

In cases of metastasis, where the tumor has spread, you may see other signs of illness, such as difficulty breathing when cancer is also in the lungs. Your vet may also see lymph node swelling.

In the later stages of malignant disease, cats lose weight, and a weakened immune system can lead to systemic infections. 

"
571,Cat Lipomas," of Cat Lipomas
Although only one mass may be present, cats that do develop lipomas will often develop more than one.

The lesion is most likely found on a cat’s chest, abdomen, neck, back, and upper legs, though no location is off limits. They are found most often in the subcutaneous tissues beneath the skin, though they can grow on internal organs as well.

To the touch, lipomas in cats are most often soft and somewhat moveable, but they can also be firmer and more adhered to the nearby tissues.

They should be the same temperature as the nearby skin, and the skin above them should appear normal and without lesions.

When they grow quite large, which happens less in cats than dogs, they can outgrow their blood supply and become necrotic (tissue death).

"
572,Cat Flu," and Types



Symptoms may range from very mild to extremely severe and some infected cats may show no signs of disease at all.



The most common symptoms seen include:




	Coughing
	Sneezing
	Lethargy
	Lack of appetite
	Runny eyes
	Runny nose
	Fever
	Labored breathing




Some cats infected with H1N1 influenza have not survived, but the majority of infected cats suffer mild to moderate symptoms.



"
573,Cat Exocrine Pancreatic Insufficiency (EPI in Cats)," of Cat EPI
A study published in 2016 details the most common symptoms of cat EPI and the percentages of cats in the study that showed these symptoms1:


	
	Weight loss (91%)
	
	
	Unformed feces (62%)
	
	
	Poor hair coat (50%)
	
	
	Anorexia (45%)
	
	
	Increased appetite (42%)
	
	
	Lethargy (40%)
	
	
	Watery diarrhea (28%)
	
	
	Vomiting (19%)
	


The frequency of these symptoms is somewhat different than what we’ve seen in the past and what is commonly seen in EPI in dogs.

The same study also found that most cats (58%) suffered from at least one other health problem in addition to EPI. When this is the case, additional symptoms are also possible. For example, a cat with both EPI and diabetes mellitus could lose weight, have soft stools, and drink and urinate more than normal.

"
574,Cat Ear Infections," of Cat Ear Infections
Cats with ear infections may experience differences in severity and length of infection. Most often, cats will have these symptoms:


	
	Head shaking
	
	
	Scratching the ears
	
	
	Head tilt
	
	
	Ear discharge and odor
	
	
	Swollen, red, and possibly ulcerated (having sores) pinna
	
	
	Ear pain
	


Depending on the cause, ear infections may affect one or both ears. It is more common for both ears to be affected.

As the infection and inflammation progress to the inner and middle ears, cats may show signs of incoordination and vestibular issues. The vestibular system is involved in balance, motion, and orientation. Problems with the vestibular system are similar to vertigo in humans. They may also injure the pinna to the point of developing an ear hematoma (pool of blood).

"
575,Cat Ear Hematoma," of Cat Ear Hematoma
Hematomas usually appear on the underside of the ear. These fluid-filled sacs can be small—just a few millimeters—or involve the entire ear. Frequently, only one ear is affected. The swelling is soft, movable, and compressible, and may be red or painful to the touch.

Cats with ear hematomas may display the following clinical signs:


	Head shaking
	
	
	Scratching at the ears
	
	
	Head tilt
	
	
	Ear pain
	
	
	Ear discharge and odor
	
	
	Dirty, inflamed ear canals
	
	
	Swollen, red, and ulcerated pinna
	
Ear hematoma caused by shaking head from ear mites–the head shake caused blood vessels to burst within the ear and caused a pocket of blood that needed to be surgically treated.Photo Credit: Sandra Mitchell, DVM 

"
576,Cat Constipation: Symptoms and Causes,"
Symptoms that your cat is constipated may include:


	
	Little to no fecal production while attempting to poop. This is otherwise known as straining and is often a sign of pain or discomfort.
	
	
	Frequent visits to the litter box. With constipation, cats will often have a sense of urgency to try and have a bowel movement often hence they will frequent the litter box more than usual.
	
	
	Vomiting. Vomiting can occur from a sense of feeling full due to extra feces present in the digestive tract. It can also be caused by nausea from upset stomach or abdominal pain.
	
	
	Decreased appetite. Constipation is often uncomfortable and can cause nausea, thus cats will choose not to eat to help relieve themselves or to tell you they are not feeling well.
	
	
	Abdominal pain. Abdominal pain is caused by the excessive amount of stool, gas, and distension caused by constipation. Constipation can also cause an intestinal blockage which is often painful.
	
	
	Decreased energy. Abdominal pain and gas causing pain can also contribute to less activity.
	
	
	Decreased interest in interacting with family. This is a common general symptom that occurs when a cat is not feeling well. Cats often isolate themselves to try and resolve their issue or as a way of telling you they do not feel well.
	


What "
577,Cat Colds," of Cat Colds
Cats with colds may have symptoms including coughing, sneezing, discharge from the eyes or nose, lethargy, and sometimes fever. For many cats, these symptoms are will go away on their own in about 7-10 days.

However, some cats may experience complications, such as a secondary bacterial infection or pneumonia. This can cause yellow-green discharge from the eyes or nose, which may lead to congestion severe enough that your cat can’t smell or taste. Cats with this condition may refuse to eat. 

"
578,Cat Asthma," of Cat Asthma
The most common signs include:  


	
	Coughing, which can look like gagging or vomiting  
	



	
	Difficulty breathing  
	
	
	Breathing that looks like it is coming from the belly instead of the chest  
	
	
	Noisy “wheezy” breathing 
	


"
579,Cataracts in Cats," of Cataracts in Cats

	
	Cloudy, hazy appearance in one or both eyes
	
	
	Bumping into furniture
	
	
	Difficulty finding food or litter box
	
	
	Reluctance to move around in unfamiliar settings
	


"
580,Cat Acne," of Cat Acne
Symptoms of cat acne include:


	
	Redness or swelling
	
	
	Bumps and pustules
	
	
	Scabs and crusts
	
	
	Pain around the chin
	


"
581,Cat Abscesses," of a Cat Abscess
The first and most obvious symptom of many abscesses is the actual wound, whether it’s a bite mark, a puncture wound, or a claw mark. You may also see matted hair around the wound. The matting is caused by pus oozing from the abscess.

Symptoms of a cat abscess include:


	
	Swelling
	
	
	Pain
	
	
	Fever
	
	
	A foul-smelling discharge or pus (with or without blood)
	
	
	Limping if the abscess is in one of the cat’s legs.
	


"
582,Cardiac Muscle Tumor in Cats," and Types


    Rhabdomyoma 	in the heart:
    
        Usually 		no symptoms
        Rarely, 		there will be signs of right-sided congestive heart failure (CHF) 		due to obstruction
    
    
    Rhabdomyoma 	outside the heart:
    
        Localized 		swelling
    
    

 
"
583,Cardiac Arrhythmia in Cats," of Cardiac Arrhythmia in Cats
Symptoms of arrhythmias can be difficult for pet parents to see, and many cats will have no obvious clinical signs. Unfortunately, in some cases of arrhythmias such as ventricular tachycardia, no symptoms are seen until sudden death occurs.

Subtle changes that can be seen are a decreased appetite and your cat sleeping more. These signs may come and go if the arrhythmia is not constant.

You may also want to look out for symptoms of disease that can lead to arrhythmias. Weight loss, increased thirst, or vomiting should prompt an evaluation of your kitty for hyperthyroidism, kidney disease, and intestinal disease.

Symptoms of severe cardiac arrhythmias in cats include:


	
	Syncope (fainting)
	
	
	Increased respiratory rate
	
	
	Open-mouth breathing
	
	
	Abdominal distension
	


If you notice any of these symptoms, take your cat to an emergency veterinary hospital immediately.

"
584,Cardiac Arrest in Cats," and Types

Blood circulation may remain intact if the animal resumes breathing within four minutes of the initial problem. However, if it lasts longer than six minutes it can lead to cardiac arrest. Common symptoms associated with this emergency include:


    Dilated pupils
    Spontaneous loss of consciousness (syncope)
    Bluish discoloration of the skin and mucous membranes (cyanosis); a sign that oxygen in the blood is dangerously diminished
    Heavy breathing (dyspnea) and gasping
    Hypothermia
    Lack of response to stimulation


"
585,Carcinoid Cancer in Cats," and Types

Primary carcinoid tumors are usually found in the stomach, small intestine, liver, and heart. The general clinical symptoms of carcinoid tumors include anorexia, vomiting, dyschezia, weight loss due to liver failure, and heart disease.

"
586,Carbon Monoxide Poisoning in Cats," and Types



Depending upon the concentration and duration of exposure of carbon monoxide, the symptoms may be acute or chronic in nature.




	Sleepiness
	Cherry red skin and mucous membranes (e.g., nostrils, lips, ears, genitals), but this is usually not visible in most animals
	Weakness
	Lethargy
	Dizziness
	Seizures
	Uncoordinated movements
	Difficulty in breathing
	Abortion in pregnant animals, especially those in late gestation period
	Depression
	Loss of hearing
	Coma
	Death




Symptoms with chronic exposure to carbon monoxide include:




	Nausea
	Abnormally high levels of acids in blood (acidosis)
	Vomiting
	Cough
	Flu like symptoms
	Loss of exercise stamina
	Disturbances in gait




"
587,Capillariasis in Cats," and Types

Often, there are no symptoms and diagnosis of the cat worm is incidental. However, especially in cats with a heavy infection, symptoms include:


    Frequent      urination
    Painful      urination
    Bloody      urine
    Straining      to urinate


Infected cats are usually over 8 months of age.

"
588,Cancerous Lymphoid Cells in the Lungs of Cats," and Types
 
Respiratory symptoms are often seen which aggravate over time. The following are a few of the more common symptoms related to this disease:
 

    Cough
    Difficulty breathing
    Inability to exercise
    Weight loss (cachexia)
    Lack of appetite (anorexia)
    Fever (in some animals)

 
"
589,Cancer of the Uterus in Cats," and Types
 

    Vaginal discharge
    Abnormal estrous cycles
    Frequent urination
    Frequent drinking
    Vomiting
    Abdominal distention, swelling
    Infertility, inability to breed successfully
    Uterine prolapse (displacement of the uterus outside the body)

 
"
590,Cancer of the Blood Vessel Cells in Cats," and Types


    Slow growing mass may be seen over 	weeks or months, usually on a limb
    Rapid growth in case of high grade 	variant tumor
    Soft, fluctuant or firm mass, 	usually on a limb, but in some cases on the trunk of the animal
    Small, but slowly growing bump or 	nodule on the body – may appear as an ulcer or sore, a bald spot, 	or as a differently pigmented (colored) area


"
591,Cancer in Cats," of Cancer in Cats
Cancer in cats can cause several symptoms, which typically depend on the type of cancer. Symptoms may include:


	
	Visible lumps and bumps
	
	
	Lethargy
	
	
	Weight gain or loss
	
	
	Vomiting
	
	
	Difficulty eating
	
	
	Diarrhea
	
	
	Trouble breathing
	
	
	Difficulty passing urine or feces
	
	
	Bad breath
	
	
	Sores
	
	
	Bloating
	
	
	Blood in the feces
	
	
	Blood-tinged urine
	


"
592,Can Cats Have Separation Anxiety?,"


	
	Urinating outside the litter box: in one study, three-quarters of the cats that peed outside the litter box did so exclusively on the pet parent’s bed
	
	
	Defecating outside the litter box
	
	
	Excessive vocalization: some cats also carry a favorite toy in their mouths while yowling or crying
	
	
	Destroying things: more common in male cats
	
	
	Excessive grooming: more common in female cats
	
	
	Hyper-attachment to their caregiver: seeking constant contact when they are together
	


"
593,Can Cats Get a Sunburn?," of Sunburn in Cats
A cat experiencing sunburn may have:


	
	Red, scaly, inflamed, or crusted skin that is hot to the touch.
	
	
	Swollen eyes, stomach, paw pads, nose, and eyes.
	
	
	Pain or discomfort.
	
	
	An urge to lick or scratch the affected part of their body, which may further damage their skin.
	


In severe cases, blisters or sores may develop, which can lead to infection.

If your cat is showing any of these signs, contact your veterinarian immediately. Fortunately, sunburns are rare in cats, However, signs of sunburn often look like other underlying conditions, so it’s important to get your cat checked out if you notice any of those listed above.
"
594,Calicivirus in Cats," of Calicivirus in Cats
Some cats become infected and do not show any clinical signs. If there are signs, they can range from mild to severe, with severe signs resulting in death. The most common signs are: 


	
	Sneezing 
	
	
	Nasal discharge 
	
	
	Ulceration of the surface of the nose (skin broken open) 
	



	
	Conjunctivitis (eye inflammation) 
	
	
	Eye discharge  
	


An affected cat may also develop the following: 


	
	Ulcers on the lip, tongue, or elsewhere in the mouth, often accompanied by drooling 
	
	
	Fever 
	



	
	Lethargy  
	
	
	Dehydration 
	
	
	Poor appetite due to severe nasal congestion and/or oral ulcerations 
	


The following signs are associated with more severe cases: 


	
	Pneumonia, with a cough or difficulty breathing 
	



	
	Joint inflammation, which causes limping or swelling in the affected joint(s) 
	
	
	Signs related to blood vessel wall inflammation (vasculitis), which can lead to multi-organ failure and death, including: 

	
		
		Swelling in the face/legs 
		
		
		Skin wounds 
		
		
		Bloody nose 
		
		
		Bloody stool 
		
	
	


"
595,Calcium Deposits in the Urinary Tract in Cats," and Types

Although it is rare in cats, the most common symptom of urolithiasis is straining while the animal is urinating. If there is inflammation in the urinary tract, the cat may have an enlarged belly or the area surrounding the urinary region may be noticeably irritated. If the calcium deposits are large, they can sometimes be felt through the skin by a veterinarian.

"
596,Calcium Buildup in Lungs of Cats," and Types

Cats with pulmonary mineralization may display no symptoms at all. However, some signs or symptoms that may be observed include:


    Cyanosis
    Coughing
    Shortness of breath
    High respiratory rate
    Abnormal breathing sounds
    Exercise intolerance


Calcification can be dystrophic (degenerative), which occurs secondary to tissue degeneration or inflammation, or it can be metastatic (transmissible throughout the body), which occurs secondary to metabolic disease, affecting the breakdown of food and its transformation into energy.

Calcification may also be considered a normal part of the aging process, or with particular breeds (e.g., premature calcification of the tracheal and bronchial cartilages in chondrodystrophic [dwarf] breeds). Calcification is often associated with a wound, thus most focal calcifications are functionally unimportant.

Ossification, also called heterotopic bone formation (the abnormal formation of true bone within extraskeletal soft tissues), can take different forms: calcification of a bony matrix (formative tissue), and pulmonary ossification in the form of small, multiple nodules.

Generalized pulmonary mineralizations of unknown cause are reported in cats under these descriptive terms: pulmonary alveolar microlithiasis or pumice stone lung; bronchiolar microlithiasis; idiopathic pulmonary calcification; or idiopathic pulmonary ossification.

"
597,Bulging Eyes in Cats," of Bulging Eyes in Cats
The main symptom of cats with bulging eyes is that the eye itself bulges or protrudes outward from the globe.  Cats can also exhibit other symptoms associated with this condition or as a result, including:


	Third eyelid protrusion
	Blindness
	Dull appearance to the cornea, often associated with dry eye
	Conjunctiva (white of the eye)
	Chemosis, or swelling, of the conjunctiva
	Difficulty closing the eyelids
	Periorbital swelling (i.e., swelling of the associated tissues)
	Discharge from the eye or surrounding skin might be commonly mistaken for a draining wound
	Sneezing and/or drainage from the nose
	Absent ocular reflexes
	Asymmetry to the face and sinuses
	Pain upon opening the mouth, often associated with inflamed gums and tissues in the back of the mouth
	Local lymph node enlargement
	Neurologic deficits
	Fever
	Decreased or absent appetite
	Lethargy, lack of energy


Severe symptoms may include:


	Hyphema, commonly seen as a “red eye” where the eye is filled with blood
	Pain especially when touched
	Normal to dilated pupil
	Surrounding abrasions and/or fractures with or without hemorrhage
	Other signs associated with head trauma such as coma, seizures
	Epistaxis (nosebleed)


"
598,Broken Bones in Cats,"


	
	Vocalization: crying, grunting, increased meowing, or growling
	
	
	Change in movement: not walking as much or at all, not putting weight on a specific limb, not flicking their tail, or holding their tail limply
	
	
	Change in behavior: not wanting to jump, stretch, or scratch as they normally do; not grooming themselves, or growling and hissing when petted
	
	
	Decreased appetite: avoiding food may indicate a broken jaw or pain in getting to their food bowl
	
	
	Swelling or bruising
	
	
	Other injuries: cuts, scrapes, or bruises in areas where an injury may have occurred
	


"
599,Breeding Timing in Cats," and Types

In order to maximize the odds of conception with properly timed breeding, it is best to pin-point, as close as possible, the day of ovulation for the queen. Symptoms of estrus in the queen are evident by her rubbing against objects, being vocal (much more than usual), and an interest shown by the male cat. However, timing of breeding is less critical with cats and ultimately depends on the amount of luteinizing hormone (LH) released, which is triggered via stimulation of the queen’s vagina and cervix.

"
601,Brain Tumors in Cats," of Brain Tumors in Cats
Symptoms of brain tumors can vary based on where the tumor is located within a cat’s brain, and may include:


	
	Lethargy
	
	
	Weight loss
	
	
	Change in personality
	
	
	Blindness
	
	
	Misaligned eyes (strabismus)
	
	
	Restlessness
	
	
	Weakness in all four limbs (tetraparesis)
	
	
	Vocalization
	
	
	Involuntary eye movements (nystagmus)
	
	
	Muscle spasms causing the head, neck, or back to arch backward (opisthotonus)
	
	
	Walking in circles
	
	
	Lack of coordination
	
	
	Loss of balance
	
	
	Difficulty swallowing
	
	
	Difficulty breathing
	
	
	Head tilt
	
	
	Seizures
	
	
	Head tremors
	
	
	Paralysis
	
	
	Coma
	


"
602,Brain Tumor (Astrocytoma) in Cats," and Types

The astrocytoma's biologic behavior depends on the tumor's location and degree of lack of cell differentiation (graded I–IV, from best to worst prognosis). The following are some common symptoms associated with this type of brain tumor:


    Seizures
    Behavioral 	changes
    Disorientation
    Loss 	of conscious proprioception (i.e., clumsy misplacement of feet, 	tripping, etc.)
    Cranial 	nerve abnormalities
    Paralysis


"
603,Brain Injury in Cats," and Types



Being that it is a vital organ, the brain requires constant supply of oxygen and nutrition. Any deficiency of oxygen or direct trauma to the brain, therefore, may result in bleeding and fluid buildup, which can cause excessive pressure on the brain. This in turn can cause complications involving the heart, eye, and several other body systems. Symptoms vary and depend on the cause and severity of the brain injury. Some of the more common symptoms include:




	Seizures
	Loss of consciousness
	Abnormal posture or irregular movements
	Ear or nose bleed
	Bleeding inside the eye (involving the retina)
	Bluish discoloration of the skin and mucous membranes (cyanosis); a sign that oxygen in the blood is dangerously diminished
	Insufficient oxygen reaching body tissues (hypoxia)
	Purplish or bluish patch under the mucous membranes) or under the skin due to ruptured blood vessels (ecchymosis)
	Red or purple spot on the body caused by a minor hemorrhage (petechiation)
	Heavy or rapid breathing (dyspnea or tachypnea, respectively)
	Abnormal heart functions, such as abnormally slow heart rate (bradycardia)




"
604,Brain Inflammation Due to Parasitic Infection in Cats," and Types

Symptoms associated with this type of encephalitis will vary depending on the portion of CNS affected. Cuterebriasis, for example, occurs mainly between July and October in the U.S. and is characterized by the sudden onset of behavior changes, seizures, and vision issues. In addition, parasite infections are often asymmetrical, affecting one side but not the other.

"
605,Brain Disorder Due to Liver Disease in Cats," and Types


    Circling, running into walls and acting confused after meals
    Learning disabilities (difficult to train)
    Sluggishness (lethargy) and/or drowsiness or sleepiness
    Aimless wandering
    Compulsive pacing
    Head pressing
    Blindness related to brain abnormality
    Seizures
    Coma
    Sudden aggression
    Vocalizing
    Lack of appetite
    Increased urination or lack of urination
    Frequent voiding of small volumes
    Orange-brown urine
    Increased thirst
    Excessive salivation
    Vomiting
    Diarrhea
    Stunted growth
    Prolonged recovery from sedation or anesthesia
    Dramatic temporary resolution of signs may occur with antibiotic or lactulose (synthetic sugar) therapy


"
606,Brain Cell Degeneration in Cats," and Types

Symptoms depend on the part of the brain that is affected.


    Uncoordinated movements
    Abnormal placement of limbs while 	walking
    Strength in limbs is usually 	normal in affected patients
    Mild tremor of head and neck
    Other neurological symptoms


"
607,Brain and Spinal Cord Inflammation (Polioencephalomyelitis) in Cats," and Types


    Ataxia: 	chronic, progressive incoordination of the hind limbs, or of all 	four limbs
    Paraparesis: 	weakness in the lower body
    Seizures
    Head 	tremors

 
"
608,"Brain and Spinal Cord Inflammation (Meningoencephalomyelitis, Eosinophilic) in Cats"," and Types
 
Symptoms vary in location and severity, but are often related to the nervous system such as circling, loss of memory, seizures and blindness.
 
"
609,Brachycephalic Airway Syndrome In Cats," of Brachycephalic Airway Syndrome in Cats
The symptoms of brachycephalic airway syndrome in cats can vary depending on the severity and number of airway problems. Not every brachycephalic cat will have every symptom, but some possible symptoms include:


	
	Open-mouth breathing (having to open the mouth to breathe)
	
	
	Increased breathing effort
	
	
	Noisy or raspy breathing
	
	
	Snoring while relaxed or asleep
	
	
	Reverse sneezing (forceful inhalations that sound like short burst of snoring)
	
	
	Coughing or gagging
	
	
	Heat intolerance
	
	
	Exercise intolerance, or collapsing during exercise or play
	

"
610,Botulism in Cats," and Types




    Sudden spreading      weakness starting in hind legs and ascending to the trunk, front legs, and      neck
    Severe weakness      of all four legs or paralysis of all four limbs (which usually occurs within 12 to 24 hours of onset)

 
"
611,Bone Tumor (Hemangiosarcoma) in Cats," and Types


    If tumor is on leg, lameness 	and/or swelling
    Fracture due to weakness in bone
    Swelling at affected site
    Difficult breathing may be present 	if tumor involves the rib
    Pale mucous membranes (i.e., 	nostrils, lips, ears, genitals)
    Anemia due to blood loss from 	ruptured tumor


"
612,Bone Overgrowth in Cats," and Types
 

    Lethargy
    Reluctance to move
    Swellings at distal portions of limbs, especially forelimbs
    Painful limbs
    Edema on limbs
    Decreased movement in joints due to swelling
    Lameness

 
"
613,Bone Marrow Cancer (Myeloma) in Cats," and Types
 
Attributed to bone infiltration and destruction of bone, effects of proteins produced by the tumor (such as increased protein in the blood leading to sludging of the blood and kidney damage), and infiltration of organ(s) by cancerous cells. Symptoms depend on location and extent of disease.


    Weakness
    Lameness
    Generalized discomfort or uneasiness
    Pain
    Fever
    Partial paralysis
    Increased thirst
    Increased urination
    Urinary incontinence
    Dementia
    Labored breathing
    Lack of appetite
    Weight loss
    Bleeding from the nose that may involve one or both nostrils
    Bleeding in the back part of the eye and blindness
    Excessive bleeding from needle punctures to collect blood or to administer intravenous medications and/or fluids
    Bleeding involving the gastrointestinal tract


"
614,Blood Transfusion Reactions in Cats," and Types
 
Reaction to a blood transfusion may be classified by one of the following conditions: immune system related; acute reaction (an immediate, sudden reaction); or delayed reaction.
 
Acute symptoms of a reaction to blood transfusion may include fever, vomiting, weakness, incontinence, shock, collapse, and general loss of transfusion effectiveness. Symptoms of a delayed reaction are usually not directly apparent and result only in a loss of the transfusion’s effectiveness.
 
Many symptoms will vary, depending on the exact cause. Transfusion of contaminated blood can result in fever, shock, and septicemia -- an invasion of disease producing bacteria into the bloodstream. Circulatory overload resulting from rapid or excessive transfusion can result in vomiting, cough, and heart failure. Hypothermia, which can stem from transfusion of cold refrigerated blood -- usually in smaller cats or already hypothermic cats -- is evident by shivering and impaired platelet function.
 
"
